id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penduduk,satuan,tahun
252,32,JAWA BARAT,3213,KABUPATEN SUBANG,763589,ORANG,2021
253,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,391444,ORANG,2021
254,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1023790,ORANG,2021
255,32,JAWA BARAT,3216,KABUPATEN BEKASI,1756261,ORANG,2021
256,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,676733,ORANG,2021
257,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,233703,ORANG,2021
258,32,JAWA BARAT,3271,KOTA BOGOR,466645,ORANG,2021
259,32,JAWA BARAT,3272,KOTA SUKABUMI,128395,ORANG,2021
260,32,JAWA BARAT,3273,KOTA BANDUNG,1185623,ORANG,2021
261,32,JAWA BARAT,3274,KOTA CIREBON,139397,ORANG,2021
262,32,JAWA BARAT,3275,KOTA BEKASI,1376447,ORANG,2021
263,32,JAWA BARAT,3276,KOTA DEPOK,1089295,ORANG,2021
264,32,JAWA BARAT,3277,KOTA CIMAHI,254059,ORANG,2021
265,32,JAWA BARAT,3278,KOTA TASIKMALAYA,316349,ORANG,2021
266,32,JAWA BARAT,3279,KOTA BANJAR,88631,ORANG,2021
267,32,JAWA BARAT,3201,KABUPATEN BOGOR,2589167,ORANG,2022
268,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1211763,ORANG,2022
269,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1119786,ORANG,2022
270,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1682510,ORANG,2022
271,32,JAWA BARAT,3205,KABUPATEN GARUT,1229218,ORANG,2022
272,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,901466,ORANG,2022
273,32,JAWA BARAT,3207,KABUPATEN CIAMIS,639600,ORANG,2022
274,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,478750,ORANG,2022
275,32,JAWA BARAT,3209,KABUPATEN CIREBON,1020411,ORANG,2022
276,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,617320,ORANG,2022
277,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,562416,ORANG,2022
278,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,890992,ORANG,2022
279,32,JAWA BARAT,3213,KABUPATEN SUBANG,800701,ORANG,2022
280,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,430788,ORANG,2022
281,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1077939,ORANG,2022
282,32,JAWA BARAT,3216,KABUPATEN BEKASI,1799668,ORANG,2022
283,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,740639,ORANG,2022
284,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,256684,ORANG,2022
285,32,JAWA BARAT,3271,KOTA BOGOR,496570,ORANG,2022
286,32,JAWA BARAT,3272,KOTA SUKABUMI,145522,ORANG,2022
287,32,JAWA BARAT,3273,KOTA BANDUNG,1298537,ORANG,2022
288,32,JAWA BARAT,3274,KOTA CIREBON,149860,ORANG,2022
289,32,JAWA BARAT,3275,KOTA BEKASI,1452223,ORANG,2022
290,32,JAWA BARAT,3276,KOTA DEPOK,1160313,ORANG,2022
291,32,JAWA BARAT,3277,KOTA CIMAHI,286038,ORANG,2022
292,32,JAWA BARAT,3278,KOTA TASIKMALAYA,324099,ORANG,2022
293,32,JAWA BARAT,3279,KOTA BANJAR,89588,ORANG,2022
